edge_id,parent,child,length_m,R_ohm,X_ohm,ampacity_A
0,6,7,0.0010500000000000002,1.05e-09,1.05e-09,1.0
1,6,9,0.00099,9.9e-10,9.9e-10,1.0
2,6,8,0.00085,8.500000000000001e-10,8.500000000000001e-10,1.0
3,6,5,0.00061,6.1e-10,6.1e-10,1.0
4,7,17,0.041,2.0336e-05,4.1000000000000006e-06,0.223
5,7,10,0.027,1.1961e-05,1.944e-06,0.196
6,9,67,0.111,5.5056e-05,1.11e-05,0.223
7,8,89,0.219,4.5113999999999995e-05,1.5111000000000002e-05,0.3
8,5,4,0.106,2.332e-05,9.115999999999999e-06,0.275
9,17,32,0.027,2.3435999999999997e-05,2.241e-06,0.123
10,17,37,0.045,2.232e-05,4.499999999999999e-06,0.223
11,10,11,0.0,0.0,0.0,0.025
12,67,72,0.046,2.2816e-05,4.6e-06,0.223
13,67,70,0.01,1.83e-05,9.4e-07,0.079
14,89,90,0.0,0.0,0.0,0.063
15,89,86,0.0,0.0,0.0,0.1
16,89,93,0.0,0.0,0.0,0.063
17,89,92,0.0,0.0,0.0,0.063
18,89,91,0.0,0.0,0.0,0.063
19,4,2,0.06,1.236e-05,4.14e-06,0.3
20,4,3,0.0,0.0,0.0,0.02
21,32,31,0.0,0.0,0.0,0.025
22,37,57,0.039,1.9344e-05,3.9e-06,0.223
23,37,16,0.03,2.916e-05,3e-06,0.118
24,72,88,0.045,2.232e-05,4.499999999999999e-06,0.223
25,72,80,0.04,3.472e-05,3.32e-06,0.123
26,72,66,0.024,2.3328e-05,2.4000000000000003e-06,0.118
27,70,71,0.0,0.0,0.0,0.025
28,90,103,0.068,3.0124e-05,4.896e-06,0.196
29,86,85,0.006,2.6580000000000002e-06,4.32e-07,0.196
30,93,69,0.138,6.1134e-05,9.936000000000001e-06,0.196
31,92,117,0.093,4.1198999999999996e-05,6.696e-06,0.196
32,91,118,0.111,4.9173e-05,7.991999999999999e-06,0.196
33,2,1,0.008,5.928e-05,8.000000000000001e-07,0.036
34,57,58,0.013,1.2999999999999999e-08,1.2999999999999999e-08,1.0
35,57,56,0.063,3.1248e-05,6.3e-06,0.223
36,57,76,0.054,5.2488e-05,5.4e-06,0.118
37,16,15,0.012,1.2e-08,1.2e-08,1.0
38,88,107,0.062,2.7466e-05,4.463999999999999e-06,0.196
39,80,81,0.0,0.0,0.0,0.02
40,66,62,0.017,3.1110000000000005e-05,1.598e-06,0.079
41,103,104,0.0,0.0,0.0,0.025
42,85,101,0.035,1.5505e-05,2.52e-06,0.196
43,85,73,0.146,6.467799999999999e-05,1.0511999999999999e-05,0.196
44,85,84,0.0,0.0,0.0,0.025
45,85,87,0.0,0.0,0.0,0.02
46,69,44,0.111,4.9173e-05,7.991999999999999e-06,0.196
47,69,68,0.0,0.0,0.0,0.02
48,117,115,0.0,0.0,0.0,0.05
49,117,116,0.0,0.0,0.0,0.025
50,118,112,0.028,1.2404e-05,2.016e-06,0.196
51,118,119,0.0,0.0,0.0,0.02
52,1,0,0.0,0.0,0.0,0.02
53,58,59,0.0,0.0,0.0,0.02
54,56,61,0.021,2.0412e-05,2.1000000000000002e-06,0.118
55,56,40,0.024,5.133599999999999e-05,2.4000000000000003e-06,0.098
56,56,48,0.031,1.5376e-05,3.1000000000000004e-06,0.223
57,76,78,0.012,1.2e-08,1.2e-08,1.0
58,15,14,0.0,0.0,0.0,0.02
59,107,105,0.04,1.772e-05,2.88e-06,0.196
60,107,120,0.059,2.6137e-05,4.247999999999999e-06,0.196
61,107,106,0.0,0.0,0.0,0.025
62,107,108,0.0,0.0,0.0,0.025
63,107,109,0.0,0.0,0.0,0.025
64,62,60,0.0,0.0,0.0,0.02
65,101,113,0.05,2.2150000000000003e-05,3.6e-06,0.196
66,101,102,0.0,0.0,0.0,0.025
67,73,75,0.065,2.8795e-05,4.68e-06,0.196
68,73,77,0.0,0.0,0.0,0.02
69,44,30,0.027,1.1961e-05,1.944e-06,0.196
70,44,45,0.0,0.0,0.0,0.025
71,112,121,0.053,4.6003999999999995e-05,4.557999999999999e-06,0.129
72,112,111,0.0,0.0,0.0,0.02
73,61,64,0.01,8.68e-06,8.3e-07,0.123
74,40,39,0.012,1.2e-08,1.2e-08,1.0
75,48,42,0.038,1.8848e-05,3.8e-06,0.223
76,48,46,0.015,4.62e-05,1.5e-06,0.059
77,48,33,0.022,2.1383999999999997e-05,2.2e-06,0.118
78,78,79,0.0,0.0,0.0,0.02
79,105,95,0.046,2.0378e-05,3.312e-06,0.196
80,120,124,0.033,1.6368e-05,3.3000000000000006e-06,0.223
81,108,110,0.03,5.49e-05,2.9099999999999997e-06,0.077
82,113,98,0.07,6.076000000000001e-05,5.810000000000001e-06,0.123
83,113,114,0.0,0.0,0.0,0.02
84,75,74,0.0,0.0,0.0,0.02
85,30,28,0.0,0.0,0.0,0.02
86,121,123,0.009,3.987e-06,7.38e-07,0.179
87,121,143,0.086,7.4648e-05,7.395999999999999e-06,0.129
88,64,63,0.0,0.0,0.0,0.025
89,64,65,0.0,0.0,0.0,0.035
90,39,38,0.0,0.0,0.0,0.025
91,42,20,0.021,2.0412e-05,2.1000000000000002e-06,0.118
92,42,34,0.025,1.2400000000000002e-05,2.5000000000000006e-06,0.223
93,42,51,0.016,1.5552e-05,1.6000000000000001e-06,0.118
94,46,47,0.0,0.0,0.0,0.025
95,33,19,0.026,1.1518e-05,1.8719999999999998e-06,0.196
96,95,83,0.024,6.432e-06,2.088e-06,0.254
97,95,96,0.04,1.772e-05,2.88e-06,0.196
98,95,94,0.0,0.0,0.0,0.025
99,124,140,0.144,0.00013996799999999997,1.44e-05,0.118
100,124,125,0.012,1.2e-08,1.2e-08,1.0
101,124,129,0.033,1.6368e-05,3.3000000000000006e-06,0.223
102,98,99,0.0,0.0,0.0,0.025
103,98,100,0.0,0.0,0.0,0.02
104,123,122,0.0,0.0,0.0,0.02
105,143,141,0.04,3.472e-05,3.44e-06,0.129
106,143,159,0.049,4.2532e-05,4.214e-06,0.129
